Vaga 1: x=44, y=36, w=162, h=105
Vaga 2: x=219, y=35, w=162, h=107
Vaga 3: x=44, y=147, w=160, h=106
Vaga 4: x=218, y=148, w=167, h=106
Vaga 5: x=46, y=261, w=157, h=103
Vaga 6: x=218, y=260, w=181, h=105
Vaga 7: x=36, y=372, w=167, h=77
Vaga 8: x=220, y=373, w=186, h=75
Vaga 9: x=34, y=454, w=168, h=73
Vaga 10: x=219, y=455, w=178, h=71
Vaga 11: x=35, y=536, w=169, h=74
Vaga 12: x=218, y=535, w=177, h=74
Vaga 13: x=34, y=616, w=169, h=74
Vaga 14: x=217, y=614, w=185, h=78
Vaga 15: x=617, y=14, w=169, h=103
Vaga 16: x=798, y=13, w=178, h=103
Vaga 17: x=615, y=123, w=167, h=103
Vaga 18: x=799, y=124, w=176, h=102
Vaga 19: x=608, y=235, w=176, h=103
Vaga 20: x=798, y=233, w=183, h=103
Vaga 21: x=600, y=344, w=185, h=102
Vaga 22: x=799, y=343, w=192, h=105
Vaga 23: x=603, y=456, w=182, h=72
Vaga 24: x=799, y=455, w=190, h=73
Vaga 25: x=604, y=537, w=180, h=73
Vaga 26: x=799, y=536, w=177, h=75
Vaga 27: x=607, y=621, w=177, h=71
Vaga 28: x=798, y=619, w=196, h=75
